시각,열교환기.고층부.공급압력,열교환기.고층부.환수압력,열교환기.고층부.난방밸브,열교환기.고층부.난방공급온도,열교환기.고층부.난방순환펌프1_INV_AI,열교환기.고층부.난방순환펌프2_INV_AI,열교환기.고층부.난방환수온도
2019 12 11 00:00:42,10.94,9.9225,10.75,45.5,35.9325,36.18,40.7
2019 12 11 00:01:42,10.92125,9.91,11.70625,45,35.9475,36.11625,40.7
2019 12 11 00:02:42,10.9075,9.89375,14.4625,44.6,35.925,36.14625,40.6
2019 12 11 00:03:42,10.9125,9.90125,16.48125,45,36.06,36.12375,40.5
2019 12 11 00:04:42,10.9225,9.91125,15.65,45.6,35.92875,36.13125,40.5
2019 12 11 00:05:42,10.92625,9.9175,13.2875,45.9,35.94,36.11625,40.6
2019 12 11 00:06:42,10.9225,9.91,11.60625,45.5,36.04125,36.1275,40.7
2019 12 11 00:07:42,10.9075,9.8875,12.55,44.9,36.04875,36.23625,40.6
2019 12 11 00:08:42,10.90375,9.88,14.98125,44.7,36.03375,36.13875,40.5
2019 12 11 00:09:42,10.91375,9.89125,16.45625,45.1,36.04125,36.23625,40.5
2019 12 11 00:10:42,10.93125,9.91,15.21875,45.7,35.94,36.13125,40.4
2019 12 11 00:11:42,10.94,9.92,12.49375,45.8,35.93625,36.195,40.5
2019 12 11 00:12:42,10.93125,9.9125,11.44375,45.4,35.92875,36.24375,40.5
2019 12 11 00:13:42,10.91625,9.9,12.58125,44.9,35.9475,36.225,40.6
2019 12 11 00:14:42,10.9175,9.9,14.60625,44.9,36.045,36.195,40.5
2019 12 11 00:15:42,10.9375,9.90875,15.2375,45.3,35.925,36.255,40.3
2019 12 11 00:16:42,10.945,9.925,14.875,45.4,35.9925,36.23625,40.3
2019 12 11 00:17:42,10.96,9.93875,13.7625,45.6,35.93625,36.24,40.4
2019 12 11 00:18:42,10.965,9.935,12.2625,45.6,35.9475,36.22875,40.5
2019 12 11 00:19:42,10.95875,9.93,12.3875,45.2,35.94,36.135,40.6
2019 12 11 00:20:42,10.95,9.935,13.61875,45,35.92125,36.24,40.5
2019 12 11 00:21:42,10.95875,9.93625,14.59375,45,35.92125,36.2475,40.4
2019 12 11 00:22:42,10.96875,9.95,14.76875,45.3,35.9325,36.12,40.4
2019 12 11 00:23:42,10.98,9.95875,14.04375,45.5,35.95125,36.18,40.5
2019 12 11 00:24:42,10.97875,9.95125,12.35625,45.6,35.92125,36.19875,40.7
2019 12 11 00:25:42,10.96875,9.945,11.85625,45.2,36.03,36.135,40.7
2019 12 11 00:26:42,10.965,9.9425,11.775,45.3,36.0525,36.21,40.7
2019 12 11 00:27:42,10.95625,9.94,11.775,45.1,35.94,36.225,40.6
2019 12 11 00:28:42,10.94,9.92,13.0625,44.9,36.01875,36.1725,40.6
2019 12 11 00:29:42,10.94125,9.925,14.2875,45.1,35.92125,36.24375,40.6
2019 12 11 00:30:42,10.95125,9.935,13.8125,45.5,36.0225,36.12375,40.6
2019 12 11 00:31:42,10.9525,9.935,11.8375,45.7,36.03,36.24,40.7
2019 12 11 00:32:42,10.9425,9.915,11.25,45.2,36.06,36.2325,40.6
2019 12 11 00:33:42,10.9375,9.915,12.375,44.9,36.045,36.15,40.6
2019 12 11 00:34:42,10.93125,9.91125,14.1375,44.8,35.925,36.25125,40.6
2019 12 11 00:35:42,10.9375,9.915,14.76875,45.2,36.05625,36.165,40.6
2019 12 11 00:36:42,10.93625,9.9175,14.08125,45.4,35.94,36.165,40.7
2019 12 11 00:37:42,10.9375,9.91625,13.03125,45.5,35.9325,36.1275,40.8
2019 12 11 00:38:42,10.93875,9.92,11.81875,45.4,36.045,36.24,40.8
2019 12 11 00:39:42,10.93125,9.91125,11.40625,45.2,36.0525,36.2175,40.8
2019 12 11 00:40:42,10.9225,9.8975,12.70625,44.8,36.045,36.13125,40.7
2019 12 11 00:41:42,10.91625,9.89625,14.81875,44.8,35.92125,36.24375,40.6
2019 12 11 00:42:42,10.91875,9.9,15.95625,45,36.04875,36.22875,40.6
2019 12 11 00:43:42,10.925,9.90625,16.525,45.2,36.0225,36.24375,40.6
2019 12 11 00:44:42,10.92875,9.91125,16.3,45.3,35.925,36.2475,40.7
2019 12 11 00:45:42,10.935,9.9075,15.15625,45.6,36.05625,36.2325,40.7
2019 12 11 00:46:42,10.93375,9.91625,13.50625,45.5,35.94375,36.2325,40.7
2019 12 11 00:47:42,10.9275,9.9025,13.59375,45,36.135,36.24,40.6
2019 12 11 00:48:42,10.925,9.90125,14.91875,44.9,36.04125,36.2175,40.5
2019 12 11 00:49:42,10.925,9.9075,16.15,45,35.93625,36.1275,40.5
2019 12 11 00:50:42,10.935,9.915,16.38125,45.3,36.04875,36.13125,40.6
2019 12 11 00:51:42,10.94875,9.9275,14.85625,45.6,35.96625,36.19875,40.6
2019 12 11 00:52:42,10.945,9.9275,13.15625,45.4,36.05625,36.12375,40.6
2019 12 11 00:53:42,10.935,9.9125,13.56875,45,35.9475,36.225,40.6
2019 12 11 00:54:42,10.92875,9.915,14.85,44.9,35.94,36.1275,40.6
2019 12 11 00:55:42,10.93625,9.91375,16.05625,45,35.925,36.24,40.6
2019 12 11 00:56:42,10.9425,9.91875,15.95,45.3,36.04125,36.1275,40.7
2019 12 11 00:57:42,10.9475,9.92625,15.225,45.4,35.9325,36.1275,40.7
2019 12 11 00:58:42,10.95375,9.93375,14.325,45.4,35.955,36.24,40.7
2019 12 11 00:59:42,10.94875,9.92875,13.04375,45.4,35.925,36.195,40.8
